mass_A
t	x	y
0,000000000E0	-1,708292987E2	2,272283103E1
4,000000000E-2	-1,706145272E2	2,332419140E1
8,000000000E-2	-1,707863444E2	2,349600865E1
1,200000000E-1	-1,710440703E2	2,328123709E1
1,600000000E-1	-1,710870246E2	2,349600865E1
2,000000000E-1	-1,707863444E2	2,341010003E1
2,400000000E-1	-1,703997556E2	2,328123709E1
2,800000000E-1	-1,703568013E2	2,332419140E1
3,200000000E-1	-1,697124866E2	2,358191727E1
3,600000000E-1	-1,697554409E2	2,375373452E1
4,000000000E-1	-1,691540806E2	2,366782590E1
4,400000000E-1	-1,686815831E2	2,409736902E1
4,800000000E-1	-1,682090857E2	2,456986645E1
5,200000000E-1	-1,678654512E2	2,448395783E1
5,600000000E-1	-1,670922736E2	2,478463801E1
6,000000000E-1	-1,664479589E2	2,478463801E1
6,400000000E-1	-1,652881925E2	2,461282076E1
6,800000000E-1	-1,644720606E2	2,435509489E1
7,200000000E-1	-1,633552484E2	2,487054663E1
7,600000000E-1	-1,620666191E2	2,521418113E1
8,000000000E-1	-1,614223044E2	2,512827251E1
8,400000000E-1	-1,599618578E2	2,495645526E1
8,800000000E-1	-1,589739086E2	2,491350095E1
9,200000000E-1	-1,571698275E2	2,474168370E1
9,600000000E-1	-1,554946094E2	2,508531819E1
1,000000000E0	-1,541200714E2	2,517122682E1
1,040000000E0	-1,531321222E2	2,521418113E1
1,080000000E0	-1,516716756E2	2,530008975E1
1,120000000E0	-1,496957772E2	2,538599838E1
1,160000000E0	-1,484071479E2	2,560076994E1
1,200000000E0	-1,461735237E2	2,555781563E1
1,240000000E0	-1,442835339E2	2,581554150E1
1,280000000E0	-1,425653614E2	2,564372425E1
1,320000000E0	-1,413196864E2	2,637394755E1
1,360000000E0	-1,407183260E2	2,671758205E1
1,400000000E0	-1,387424277E2	2,641690186E1
1,440000000E0	-1,367235750E2	2,667462774E1
1,480000000E0	-1,347906310E2	2,714712517E1
1,520000000E0	-1,330724585E2	2,697530792E1
1,560000000E0	-1,310965601E2	2,736189673E1
1,600000000E0	-1,292495247E2	2,701826223E1
1,640000000E0	-1,271018091E2	2,688939930E1
1,680000000E0	-1,256843168E2	2,684644498E1
1,720000000E0	-1,235366012E2	2,697530792E1
1,760000000E0	-1,213459313E2	2,684644498E1
1,800000000E0	-1,197995761E2	2,719007948E1
1,840000000E0	-1,174800433E2	2,753371398E1
1,880000000E0	-1,157189165E2	2,731894242E1
1,920000000E0	-1,138718810E2	2,740485104E1
1,960000000E0	-1,120677999E2	2,749075966E1
2,000000000E0	-1,100919016E2	2,744780535E1
2,040000000E0	-1,081160032E2	2,753371398E1
2,080000000E0	-1,061830592E2	2,727598810E1
2,120000000E0	-1,040353436E2	2,770553122E1
2,160000000E0	-1,020164909E2	2,770553122E1
2,200000000E0	-1,002553642E2	2,753371398E1
2,240000000E0	-9,793583130E1	2,757666829E1
2,280000000E0	-9,583107002E1	2,766257691E1
2,320000000E0	-9,325381130E1	2,736189673E1
2,360000000E0	-9,089132414E1	2,787734847E1
2,400000000E0	-8,943087753E1	2,804916572E1
2,440000000E0	-8,766975074E1	2,834984590E1
2,480000000E0	-8,453408597E1	2,800621141E1
2,520000000E0	-8,255818762E1	2,847870884E1
2,560000000E0	-8,062524358E1	2,834984590E1
2,600000000E0	-7,843457367E1	2,895120627E1
2,640000000E0	-7,607208651E1	2,925188646E1
2,680000000E0	-7,383846229E1	2,882234334E1
2,720000000E0	-7,173370100E1	2,834984590E1
2,760000000E0	-6,919939659E1	2,908006921E1
2,800000000E0	-6,692281806E1	2,908006921E1
2,840000000E0	-6,451737659E1	2,877938902E1
2,880000000E0	-6,288511273E1	2,933779508E1
2,920000000E0	-6,069444282E1	2,908006921E1
2,960000000E0	-5,863263585E1	2,916597783E1
3,000000000E0	-5,669969181E1	2,899416058E1
3,040000000E0	-5,468083914E1	2,843575453E1
3,080000000E0	-5,197471749E1	2,800621141E1
3,120000000E0	-4,956927602E1	2,787734847E1
3,160000000E0	-4,806587510E1	2,770553122E1
3,200000000E0	-4,544566207E1	2,761962260E1
3,240000000E0	-4,321203785E1	2,783439416E1
3,280000000E0	-4,106432225E1	2,719007948E1
3,320000000E0	-3,844410922E1	2,676053636E1
3,360000000E0	-3,595275912E1	2,624508462E1
3,400000000E0	-3,354731765E1	2,637394755E1
3,440000000E0	-3,152846499E1	2,628803893E1
3,480000000E0	-2,950961233E1	2,585849581E1
3,520000000E0	-2,744780535E1	2,551486131E1
3,560000000E0	-2,530008975E1	2,499940957E1
3,600000000E0	-2,250805948E1	2,521418113E1
3,640000000E0	-2,091874993E1	2,538599838E1
3,680000000E0	-1,877103433E1	2,431214058E1
3,720000000E0	-1,593604974E1	2,448395783E1
3,760000000E0	-1,383128846E1	2,456986645E1
3,800000000E0	-1,168357286E1	2,392555177E1
3,840000000E0	-8,547908083E0	2,375373452E1
3,880000000E0	-6,572009732E0	2,375373452E1
3,920000000E0	-4,252476886E0	2,332419140E1
3,960000000E0	-2,663167342E0	2,323828278E1
4,000000000E0	-3,006801838E-1	2,336714571E1
